sample	category	mapped	unique	total	unique/total	gfp	PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS
FACS_GBM63_T_93_S168	GBM63_T	76268	64400	367798	0.175096113	16	6306374	6097579	14444	1439870	1139733	2378295	1125237	0	0	0	5232	3495	90	0.599519	0.400481	0.002369	0.236138	0.186916	0.390039	0.184538	0.423054	0.409047	0	0.808341	0.331562	0.60478	0.057416
FACS_GBM63_T_94_S176	GBM63_T	17270391	16018600	17765322	0.901677999	14232	1612791462	1602794371	71104916	1170798810	311705841	40771569	8413235	0	0	0	2907195	2906019	57158	0.500101	0.499899	0.044363	0.730473	0.194477	0.025438	0.005249	0.92495	0.919217	0	0.466288	0.594558	0.575039	0.740745
FACS_GBM63_T_95_S184	GBM63_T	220793	203756	517804	0.393500243	220	20500067	20366359	665042	15316611	3750643	471942	162121	0	0	0	36364	37347	732	0.493332	0.506668	0.032654	0.752054	0.184159	0.023173	0.00796	0.936213	0.930107	0	0.752844	0.479618	0.474657	0.354661
FACS_GBM63_T_96_S192	GBM63_T	846	786	1886	0.416755037	2	78051	77617	2214	27150	10062	20864	17327	0	0	0	61	82	1	0.426573	0.573427	0.028525	0.349795	0.129637	0.268807	0.223237	0.479431	0.476765	0	0.797012	0.812669	0.371825	0
FACS_GBM63_T_9_S161	GBM63_T	595	441	76192	0.005788009	0	42621	42340	0	34459	3446	2511	1924	0	0	0	100	74	0	0.574713	0.425287	0	0.813864	0.081389	0.059306	0.045442	0.895253	0.88935	0	0.985219	0.138396	0.830047	0
FACS_GBM63_U_10_S73	GBM63_U	852188	796230	874680	0.910310056	4356	79818340	79410224	2113504	62557405	12534613	1423654	781048	0	0	0	143802	145795	2345	0.496559	0.503441	0.026615	0.787775	0.157846	0.017928	0.009836	0.945622	0.940787	0	0.632903	0.498342	0.448138	0.594276
FACS_GBM63_U_11_S81	GBM63_U	2744	2356	7158	0.329142218	16	225595	222869	5595	150441	33574	19418	13841	0	0	0	407	396	4	0.506849	0.493151	0.025104	0.67502	0.150645	0.087127	0.062104	0.825664	0.815687	0	0.942047	0.293766	0.341026	0.090909
FACS_GBM63_U_12_S89	GBM63_U	154668	146136	159626	0.915489958	42	14282435	14183121	250118	9811447	3256420	733358	131778	0	0	0	24654	24924	306	0.497277	0.502723	0.017635	0.691769	0.229598	0.051706	0.009291	0.921368	0.914961	0	0.909183	0.432101	0.331312	0.155556
FACS_GBM63_U_13_S2	GBM63_U	6994	5734	512326	0.011192093	8	574974	569074	17448	254277	103509	158695	35145	0	0	0	523	523	14	0.5	0.5	0.03066	0.446826	0.18189	0.278865	0.061758	0.628716	0.622265	0	0.878639	0.399285	0.364666	0.041096
FACS_GBM63_U_14_S10	GBM63_U	29780	28426	154148	0.184407193	6	2840433	2799863	5001	1696267	337115	313426	448054	0	0	0	3366	3396	21	0.497782	0.502218	0.001786	0.605839	0.120404	0.111943	0.160027	0.726243	0.71587	0	1.244693	0.064794	0.737658	0
FACS_GBM63_U_15_S18	GBM63_U	8598	7884	214834	0.036698102	28	791127	782157	14989	565590	156006	30143	15429	0	0	0	1087	1457	11	0.42728	0.57272	0.019164	0.723116	0.199456	0.038538	0.019726	0.922572	0.912111	0	0.826839	0.461929	0.642196	0.266667
FACS_GBM63_U_16_S26	GBM63_U	1381404	1267720	1655528	0.765749658	9868	127795560	126968032	1367436	99581799	23388760	1050339	1579698	0	0	0	226972	226205	2258	0.500846	0.499154	0.01077	0.784306	0.18421	0.008272	0.012442	0.968516	0.962244	0	0.869718	0.341624	0.402825	0
FACS_GBM63_U_17_S34	GBM63_U	23028812	21474579	23846082	0.900549575	114664	2165478006	2154703477	73430339	1624444405	398569939	38664023	19594771	0	0	0	3937424	3883729	53891	0.503433	0.496567	0.034079	0.753906	0.184977	0.017944	0.009094	0.938883	0.934211	0	0.4788	0.540002	0.568703	0.636826
FACS_GBM63_U_18_S42	GBM63_U	4623454	4326754	4948056	0.874435132	10	435630608	433341494	2963916	324129095	98185947	5753055	2309481	0	0	0	766877	768231	18258	0.499559	0.500441	0.00684	0.747976	0.226579	0.013276	0.005329	0.974555	0.969434	0	1.034859	0.059322	0.425479	0
FACS_GBM63_U_19_S50	GBM63_U	11171500	9886798	11467882	0.86212938	82348	996035467	990088605	48416706	743852245	160993262	24551532	12274860	0	0	0	1733175	1729551	25385	0.500523	0.499477	0.048901	0.751299	0.162605	0.024797	0.012398	0.913904	0.908447	0	0.472164	0.600762	0.524687	0.768957
FACS_GBM63_U_1_S1	GBM63_U	1006	858	5422	0.15824419	8	84723	83638	2163	45144	18557	9495	8279	0	0	0	99	143	1	0.409091	0.590909	0.025861	0.539755	0.221873	0.113525	0.098986	0.761627	0.751874	0	0.904611	0.707071	1.16431	0.509375
FACS_GBM63_U_20_S58	GBM63_U	3734	3326	56850	0.058504837	8	334415	332435	12380	236311	68242	10760	4742	0	0	0	561	565	11	0.498224	0.501776	0.03724	0.710849	0.205279	0.032367	0.014264	0.916128	0.910704	0	0.913892	0.426052	0.518326	0.166446
FACS_GBM63_U_21_S66	GBM63_U	131716	118948	167224	0.711309381	380	11985876	11917797	210917	8882864	2402509	300473	121034	0	0	0	22168	22239	360	0.499201	0.500799	0.017698	0.745344	0.20159	0.025212	0.010156	0.946934	0.941556	0	0.938904	0.415451	0.240799	0
FACS_GBM63_U_22_S74	GBM63_U	38022	33234	198862	0.167120918	12	3346498	3320144	139549	2338529	663393	116562	62111	0	0	0	4995	5091	98	0.495241	0.504759	0.042031	0.704346	0.199809	0.035108	0.018707	0.904154	0.897034	0	0.851712	0.385674	0.382084	0.0335
FACS_GBM63_U_23_S82	GBM63_U	369066	334696	372512	0.898483807	10	33278362	32880831	287520	20999531	11405734	142279	45767	0	0	0	62261	65545	2047	0.487152	0.512848	0.008744	0.638656	0.346881	0.004327	0.001392	0.985537	0.973764	0	1.407847	0.000588	0.113758	0
FACS_GBM63_U_24_S90	GBM63_U	1224	1076	7314	0.147115122	0	108020	107128	774	73659	25098	5810	1787	0	0	0	189	162	1	0.538462	0.461538	0.007225	0.687579	0.23428	0.054234	0.016681	0.92186	0.914247	0	1.089166	0.287172	0.195529	0
FACS_GBM63_U_25_S3	GBM63_U	5948	5720	7676	0.745179781	2	569950	567041	5685	470121	65948	15845	9442	0	0	0	1069	1102	4	0.4924	0.5076	0.010026	0.829078	0.116302	0.027943	0.016651	0.94538	0.940554	0	0.787718	0.423391	0.633823	0.083889
FACS_GBM63_U_26_S11	GBM63_U	5290	5116	197056	0.025962163	2	503683	493389	3396	136000	61585	263378	29030	0	0	0	259	276	2	0.484112	0.515888	0.006883	0.275645	0.12482	0.533814	0.058838	0.400465	0.39228	0	1.097306	0.002601	1.279379	0
FACS_GBM63_U_27_S19	GBM63_U	6497	5334	566520	0.009415378	4	536252	527678	11475	302817	110757	63137	39492	0	0	0	812	896	11	0.47541	0.52459	0.021746	0.573867	0.209895	0.119651	0.074841	0.783762	0.771231	0	0.824907	0.249965	0.532691	0.215426
FACS_GBM63_U_28_S27	GBM63_U	38172	32982	110376	0.29881496	160	3319881	3305905	30157	2544663	576393	90687	64005	0	0	0	6252	6096	45	0.506317	0.493683	0.009122	0.769733	0.174353	0.027432	0.019361	0.944085	0.940111	0	0.914501	0.460121	0.29783	0
FACS_GBM63_U_29_S35	GBM63_U	6228032	3576315	9049282	0.395204283	52430	360238464	357761562	51867014	233383510	45648813	18677880	8184345	0	0	0	533857	535855	6391	0.499066	0.500934	0.144976	0.652344	0.127596	0.052208	0.022877	0.779939	0.774577	0	0.695846	0.518741	0.365235	0.272213
FACS_GBM63_U_2_S9	GBM63_U	3920	3756	12868	0.291886851	2	372796	370385	1124	218861	65901	58189	26310	0	0	0	676	618	59	0.522411	0.477589	0.003035	0.590901	0.177926	0.157104	0.071034	0.768827	0.763855	0	0.9148	0.309814	0.506361	0.052937
FACS_GBM63_U_30_S43	GBM63_U	8696526	8156112	9543502	0.854624644	4	822037265	815840577	19842477	604504702	164167168	18749026	8577204	0	0	0	1422212	1445822	29187	0.495884	0.504116	0.024322	0.740959	0.201225	0.022981	0.010513	0.942184	0.935082	0	0.967483	0.199825	0.412534	0
FACS_GBM63_U_31_S51	GBM63_U	7597134	7007262	9001906	0.778419815	14	705746270	701798150	9839480	518931811	146738949	12661886	13626024	0	0	0	1183880	1175745	13193	0.501724	0.498276	0.01402	0.739432	0.20909	0.018042	0.019416	0.948522	0.943215	0	1.134825	0.058107	0.430786	0
FACS_GBM63_U_32_S59	GBM63_U	4221042	4093476	4278026	0.956860945	60	411234924	409013264	2579211	302771005	95755217	6148779	1759052	0	0	0	755056	759689	8161	0.498471	0.501529	0.006306	0.740247	0.234113	0.015033	0.004301	0.97436	0.969096	0	0.553734	0.561201	0.375739	0.71064
FACS_GBM63_U_33_S67	GBM63_U	7178	6848	467324	0.014653645	0	675161	647183	3170	105821	25598	165433	347161	0	0	0	282	277	3	0.504472	0.495528	0.004898	0.16351	0.039553	0.25562	0.536419	0.203063	0.194648	0	0.862412	0.130104	0.768662	0.005208
FACS_GBM63_U_34_S75	GBM63_U	14398799	13644891	14653844	0.931147554	26720	1376640018	1370608704	44133601	1063164902	231901362	24257158	7151681	0	0	0	2536827	2519176	35373	0.501746	0.498254	0.0322	0.775688	0.169196	0.017698	0.005218	0.944884	0.940744	0	0.464364	0.53258	0.578828	0.688523
FACS_GBM63_U_35_S83	GBM63_U	2959770	2622050	3014324	0.869863359	3204	264245642	262705423	10428700	203733232	43420086	4010135	1113270	0	0	0	466829	467937	9896	0.499407	0.500593	0.039697	0.77552	0.165281	0.015265	0.004238	0.9408	0.935317	0	0.540391	0.527405	0.460918	0.686794
FACS_GBM63_U_36_S91	GBM63_U	37849	33843	530186	0.063832315	0	3378178	3315033	1203	2325704	295371	350844	341911	0	0	0	6129	6295	56	0.493319	0.506681	0.000363	0.701563	0.0891	0.105834	0.10314	0.790663	0.775884	0	1.833537	0	0.411857	0
FACS_GBM63_U_37_S4	GBM63_U	6499632	6256284	6662280	0.939060502	18	629292058	625700954	9882034	430307526	160893913	18377926	6239555	0	0	0	1150078	1156611	14898	0.498584	0.501416	0.015794	0.687721	0.257142	0.029372	0.009972	0.944863	0.939471	0	0.71622	0.487048	0.34297	0.307507
FACS_GBM63_U_38_S12	GBM63_U	474681	456702	486122	0.939480213	1378	45830239	45524322	289469	35657386	8561639	693908	321920	0	0	0	85892	86240	1035	0.498989	0.501011	0.006359	0.78326	0.188067	0.015243	0.007071	0.971327	0.964844	0	0.635307	0.624878	0.391875	0.640909
FACS_GBM63_U_39_S20	GBM63_U	6434	5952	8060	0.738461538	32	598772	594715	27065	410849	129514	16951	10336	0	0	0	1052	1005	13	0.511424	0.488576	0.045509	0.690833	0.217775	0.028503	0.01738	0.908608	0.902452	0	0.846469	0.492314	0.532714	0.3001
FACS_GBM63_U_3_S17	GBM63_U	41406	21176	186716	0.113412884	1406	2084768	2066465	12489	1393701	440513	65767	153995	0	0	0	3300	3102	26	0.515464	0.484536	0.006044	0.674437	0.213172	0.031826	0.074521	0.88761	0.879817	0	1.026868	0.38448	0.222833	0
FACS_GBM63_U_40_S28	GBM63_U	359865	314514	584776	0.53783671	2232	31635490	31450236	651507	23444056	5943297	738244	673132	0	0	0	54695	53334	922	0.506299	0.493701	0.020715	0.745433	0.188975	0.023473	0.021403	0.934408	0.928936	0	0.865709	0.460025	0.263407	0
FACS_GBM63_U_41_S36	GBM63_U	9175864	8093946	12324198	0.65675235	41288	815856033	810837652	21099307	596796692	167576215	15841728	9523710	0	0	0	1470810	1448308	8992	0.503854	0.496146	0.026022	0.736025	0.20667	0.019537	0.011746	0.942695	0.936897	0	1.033539	0.176719	0.441093	0
FACS_GBM63_U_42_S44	GBM63_U	6302	5848	7438	0.786232858	32	588164	583949	22811	403346	133066	14372	10354	0	0	0	1085	1027	13	0.513731	0.486269	0.039063	0.690721	0.227873	0.024612	0.017731	0.918594	0.912011	0	0.851351	0.483261	0.549572	0.003205
FACS_GBM63_U_43_S52	GBM63_U	1555490	1474564	2194710	0.67187191	58	147696405	146567089	7180863	95069099	38978705	4099662	1238760	0	0	0	241475	236484	3253	0.505221	0.494779	0.048994	0.648639	0.265944	0.027971	0.008452	0.914583	0.90759	0	0.976803	0.146429	0.434655	0
FACS_GBM63_U_44_S60	GBM63_U	3804	3406	4466	0.762651142	34	342328	339806	14356	239208	69847	7723	8672	0	0	0	581	605	4	0.489882	0.510118	0.042248	0.703955	0.20555	0.022728	0.02552	0.909504	0.902804	0	0.788415	0.506577	0.677041	0.399808
FACS_GBM63_U_45_S68	GBM63_U	36266	34892	2127454	0.016400825	12	3496020	3465367	8521	1450740	825606	642739	537761	0	0	0	5566	5447	2	0.505403	0.494597	0.002459	0.41864	0.238245	0.185475	0.155182	0.656885	0.651125	0	0.879529	0.283198	0.413932	0
FACS_GBM63_U_46_S76	GBM63_U	6040	5534	115134	0.048065732	28	553172	548235	22984	366385	114786	19585	24495	0	0	0	927	891	19	0.509901	0.490099	0.041924	0.668299	0.209374	0.035724	0.04468	0.877673	0.86984	0	0.832503	0.441546	0.572147	0.239766
FACS_GBM63_U_47_S84	GBM63_U	238910	220258	245398	0.897554177	316	22136432	21999371	530467	16930055	4021506	396035	121308	0	0	0	38117	37396	559	0.504774	0.495226	0.024113	0.76957	0.182801	0.018002	0.005514	0.952371	0.946474	0	0.762473	0.497268	0.377504	0.325843
FACS_GBM63_U_48_S92	GBM63_U	440	408	666	0.612612613	0	41203	40849	1818	30119	7649	993	270	0	0	0	72	62	3	0.537313	0.462687	0.044505	0.737325	0.187251	0.024309	0.00661	0.924576	0.916632	0	0.958172	1.161029	0.394174	3.117647
FACS_GBM63_U_49_S5	GBM63_U	4220420	3604432	6689312	0.538834487	2	362573908	353423922	5315	1665032	6517648	146225989	199009938	0	0	0	18361	18621	1984	0.496485	0.503515	1.50E-05	0.004711	0.018441	0.413741	0.563091	0.023153	0.022568	0	2.417568	0	0	0
FACS_GBM63_U_4_S25	GBM63_U	1604	1382	14584	0.094761382	8	133595	132601	6587	89780	27193	7433	1608	0	0	0	266	220	2	0.547325	0.452675	0.049675	0.677069	0.205074	0.056055	0.012127	0.882143	0.875579	0	1.301409	0.051859	0.311156	0
FACS_GBM63_U_50_S13	GBM63_U	6074357	5872615	6240208	0.941092829	4570	591325215	587872355	5155221	424848521	132925971	20156278	4786364	0	0	0	1068333	1070358	13340	0.499527	0.500473	0.008769	0.722688	0.226114	0.034287	0.008142	0.948802	0.943262	0	0.525838	0.576295	0.451041	0.730778
FACS_GBM63_U_51_S21	GBM63_U	8000161	7665176	9589296	0.799347105	146	772610535	767695733	17809974	559782464	165664726	20408938	4029631	0	0	0	1387979	1346966	21506	0.507498	0.492502	0.023199	0.729172	0.215795	0.026585	0.005249	0.944967	0.938956	0	1.205178	0.000716	0.574362	0
FACS_GBM63_U_52_S29	GBM63_U	1686058	1601930	1888974	0.848042376	540	161468267	160484377	1559192	108477150	36899171	10440561	3108303	0	0	0	276294	275280	4057	0.500919	0.499081	0.009716	0.675936	0.229924	0.065057	0.019368	0.90586	0.90034	0	1.036892	0.123881	0.392422	0
FACS_GBM63_U_53_S37	GBM63_U	2464749	1793546	3278954	0.54698724	20	180862817	179684913	15116011	124159684	34746071	3775252	1887895	0	0	0	291573	293900	3044	0.498013	0.501987	0.084125	0.690986	0.193372	0.02101	0.010507	0.884358	0.878598	0	0.998209	0.307671	0.365569	0
FACS_GBM63_U_54_S45	GBM63_U	2002173	1913218	2402798	0.796245877	19112	192586678	191006049	1481673	143001328	41229240	2216594	3077214	0	0	0	301456	291026	2111	0.508802	0.491198	0.007757	0.748674	0.215853	0.011605	0.016111	0.964527	0.956611	0	1.070039	0.100609	0.390891	0
FACS_GBM63_U_55_S53	GBM63_U	482985	433186	630658	0.686879418	590	43684084	43439224	1377338	32077945	7689970	1520383	773588	0	0	0	76447	76595	1130	0.499516	0.500484	0.031707	0.738456	0.177028	0.035	0.017809	0.915484	0.910352	0	0.820386	0.450116	0.39353	0
FACS_GBM63_U_56_S61	GBM63_U	1066398	943534	1353766	0.696969787	6510	95030458	94361974	1740599	68406185	16546787	4673012	2995391	0	0	0	154122	155049	1645	0.498501	0.501499	0.018446	0.724934	0.175354	0.049522	0.031744	0.900288	0.893955	0	1.006919	0.178596	0.325189	0
FACS_GBM63_U_57_S69	GBM63_U	2398	2138	77222	0.027686411	2	212796	207545	4114	52431	33044	30452	87504	0	0	0	183	155	10	0.54142	0.45858	0.019822	0.252625	0.159214	0.146725	0.421615	0.411838	0.401676	0	0.986992	0.126671	0.500775	0
FACS_GBM63_U_58_S77	GBM63_U	2077696	2008136	2120888	0.946837362	1448	202538800	201146676	1929553	148435062	45863850	3873083	1045128	0	0	0	364780	367515	5336	0.498133	0.501867	0.009593	0.737944	0.228012	0.019255	0.005196	0.965956	0.959317	0	0.515642	0.567216	0.479494	0.784086
FACS_GBM63_U_59_S85	GBM63_U	1122754	929946	1156278	0.804258146	952	93723421	93149360	4361792	70332561	15300523	2605385	549099	0	0	0	159581	160955	2862	0.497857	0.502143	0.046826	0.755051	0.164258	0.02797	0.005895	0.919309	0.913679	0	0.578448	0.507648	0.489635	0.546218
FACS_GBM63_U_5_S33	GBM63_U	3617092	3326295	3877624	0.857817829	113764	334185659	332298097	14399793	252886615	49006033	3959306	12046350	0	0	0	555827	560567	7285	0.497877	0.502123	0.043334	0.761023	0.147476	0.011915	0.036252	0.908499	0.903368	0	0.548283	0.536249	0.49343	0.644806
FACS_GBM63_U_60_S93	GBM63_U	6183	5400	115344	0.046816479	0	542110	537970	26324	239710	60554	120993	90389	0	0	0	643	651	23	0.496909	0.503091	0.048932	0.445582	0.11256	0.224907	0.168019	0.558143	0.55388	0	1.015336	0.566615	0.35236	0
FACS_GBM63_U_61_S6	GBM63_U	9716	8660	185112	0.046782488	22	871331	864923	52806	551551	201285	37541	21740	0	0	0	1498	1486	10	0.502011	0.497989	0.061053	0.637688	0.23272	0.043404	0.025135	0.870408	0.864007	0	0.835145	0.392836	0.674919	0.10087
FACS_GBM63_U_62_S14	GBM63_U	387501	357350	4544234	0.078638116	6	35817565	35430639	110024	23987960	4021885	4135219	3175551	0	0	0	34839	25572	15	0.5767	0.4233	0.003105	0.67704	0.113514	0.116713	0.089627	0.790554	0.782014	0	0.910388	0.295841	0.564928	0.16814
FACS_GBM63_U_63_S22	GBM63_U	3933443	3653816	8639244	0.422932377	30	367165189	364784953	1082997	215233291	107516928	32052091	8899646	0	0	0	665529	669057	13352	0.498678	0.501322	0.002969	0.590028	0.294741	0.087866	0.024397	0.884768	0.879033	0	0.929977	0.22963	0.418531	0
FACS_GBM63_U_64_S30	GBM63_U	11762457	11366621	11974740	0.949216517	5616	1145212046	1139470385	9398854	824286097	257833796	40705709	7245929	0	0	0	2073413	2071985	22324	0.500172	0.499828	0.008248	0.723394	0.226275	0.035723	0.006359	0.949669	0.944908	0	0.52113	0.531947	0.48423	0.636808
FACS_GBM63_U_65_S38	GBM63_U	1502144	1349714	1705142	0.79155519	2094	136164404	135335988	2689061	100832796	26467592	4163195	1183344	0	0	0	235592	234091	3083	0.501598	0.498402	0.01987	0.745055	0.19557	0.030762	0.008744	0.940625	0.934902	0	0.803914	0.365905	0.479822	0.138817
FACS_GBM63_U_66_S46	GBM63_U	735608	669904	847700	0.790260705	6274	67560238	67158505	1511721	50575826	12633405	1135394	1302159	0	0	0	113321	111522	1996	0.504001	0.495999	0.02251	0.753081	0.188113	0.016906	0.019389	0.941195	0.935598	0	0.877281	0.415683	0.383544	0
FACS_GBM63_U_67_S54	GBM63_U	1858606	1740470	1955314	0.890123019	5722	175574159	174611183	1468486	128286103	36685819	5687175	2483600	0	0	0	295367	296992	4522	0.498628	0.501372	0.00841	0.734696	0.2101	0.032571	0.014224	0.944796	0.939614	0	0.979003	0.235531	0.392013	0
FACS_GBM63_U_68_S62	GBM63_U	267844	251818	337196	0.746800081	14	25258916	25062116	42577	15072679	8689695	1161522	95643	0	0	0	23880	27011	391	0.469238	0.530762	0.001699	0.601413	0.346726	0.046346	0.003816	0.948139	0.940752	0	0.929805	0.287861	0.48777	0
FACS_GBM63_U_69_S70	GBM63_U	263470	221078	11825948	0.018694315	4772	22247869	21929666	1506904	6755464	3222091	5246342	5198865	0	0	0	20343	20473	708	0.498407	0.501593	0.068715	0.308051	0.146928	0.239235	0.23707	0.45498	0.448472	0	1.004904	0.22774	0.236689	0
FACS_GBM63_U_6_S41	GBM63_U	61826	59372	75832	0.782941239	10	5882779	5846398	145533	4138221	1442996	72849	46799	0	0	0	11173	11744	340	0.487542	0.512458	0.024893	0.707824	0.246818	0.01246	0.008005	0.954642	0.948738	0	1.150041	0.101085	0.244506	0
FACS_GBM63_U_70_S78	GBM63_U	37260	32670	149372	0.21871569	32	3291976	3273424	194479	2281373	687256	54280	56036	0	0	0	5548	5197	38	0.516333	0.483667	0.059411	0.696938	0.20995	0.016582	0.017118	0.906888	0.901777	0	0.832423	0.452523	0.569185	0.140312
FACS_GBM63_U_71_S86	GBM63_U	12330	11328	57742	0.196183021	18	1131786	1125216	28595	892510	176014	18956	9141	0	0	0	1794	1836	16	0.494215	0.505785	0.025413	0.79319	0.156427	0.016847	0.008124	0.949617	0.944104	0	0.862557	0.540139	0.694766	0.182609
FACS_GBM63_U_72_S94	GBM63_U	12002	10374	46418	0.223490887	2	1044816	1033100	94501	687264	193192	29513	28630	0	0	0	1666	1682	57	0.497611	0.502389	0.091473	0.665244	0.187002	0.028567	0.027713	0.852247	0.84269	0	1.006343	0.394429	0.318413	0
FACS_GBM63_U_73_S7	GBM63_U	13378	11754	120056	0.097904311	2	1182389	1173748	59581	809596	204366	68372	31833	0	0	0	1883	1931	31	0.493707	0.506293	0.050761	0.689753	0.174114	0.058251	0.027121	0.863867	0.857554	0	0.850128	0.327564	0.381732	0
FACS_GBM63_U_74_S15	GBM63_U	2763	2296	499156	0.004599764	2	230234	228220	14646	141577	44392	14555	13050	0	0	0	361	361	4	0.5	0.5	0.064175	0.620353	0.194514	0.063776	0.057182	0.814867	0.807739	0	0.764809	0.648776	0.653534	0.35
FACS_GBM63_U_75_S23	GBM63_U	297066	290670	3487644	0.083342795	16	29181040	28935526	76023	21666663	6709471	405718	77651	0	0	0	61513	60099	1425	0.505814	0.494186	0.002627	0.748791	0.231877	0.014021	0.002684	0.980668	0.972417	0	0.840505	0.426772	0.491303	0.255814
FACS_GBM63_U_76_S31	GBM63_U	2240827	2068862	2720050	0.760597048	2	207656626	206327244	955801	165907843	37336491	885531	1241578	0	0	0	426087	428864	2337	0.498376	0.501624	0.004632	0.804101	0.180958	0.004292	0.006018	0.985058	0.978752	0	1.072713	0.000315	0.496353	0
FACS_GBM63_U_77_S39	GBM63_U	1196061	1086340	1250510	0.868717563	1486	109412776	108842364	1031838	81449457	21284200	4320781	756088	0	0	0	193471	192960	2634	0.500661	0.499339	0.00948	0.748325	0.195551	0.039698	0.006947	0.943876	0.938955	0	0.568284	0.54847	0.487219	0.569965
FACS_GBM63_U_78_S47	GBM63_U	4211734	3714754	7474804	0.496970088	50	374231252	371698619	16801832	259315581	70569131	17428798	7583277	0	0	0	582717	563815	9350	0.508243	0.491757	0.045203	0.69765	0.189856	0.04689	0.020402	0.887506	0.8815	0	1.00175	0.272696	0.366588	0
FACS_GBM63_U_79_S55	GBM63_U	8725021	4772730	13699470	0.34838793	83118	480741038	477877794	81625124	304471537	58166250	20421352	13193531	0	0	0	679469	690698	6627	0.495902	0.504098	0.170808	0.637133	0.121718	0.042733	0.027609	0.75885	0.754331	0	0.778698	0.494193	0.257262	0.015327
FACS_GBM63_U_7_S49	GBM63_U	23602	19860	29966	0.662751118	58	1983434	1969478	44485	1436604	372130	87614	28645	0	0	0	3293	3435	76	0.489447	0.510553	0.022587	0.729434	0.188949	0.044486	0.014544	0.918382	0.91192	0	1.083157	0.335647	0.275639	0
FACS_GBM63_U_80_S63	GBM63_U	320456	300976	441218	0.682148054	28	30293471	30105282	708357	18876645	7964492	2042162	513626	0	0	0	51230	49815	940	0.507002	0.492998	0.023529	0.627021	0.264555	0.067834	0.017061	0.891576	0.886037	0	0.945205	0.337672	0.486809	0
FACS_GBM63_U_81_S71	GBM63_U	18682	18196	49252	0.369446926	0	1811689	1787982	29067	219829	79141	1339927	120018	0	0	0	421	381	6	0.524938	0.475062	0.016257	0.122948	0.044263	0.749407	0.067125	0.167211	0.165023	0	0.798453	0.515527	0.341799	0.446154
FACS_GBM63_U_82_S79	GBM63_U	68158	64688	101252	0.638881207	24	6522632	6480597	224781	4210210	1544756	423136	77714	0	0	0	10586	10580	185	0.500142	0.499858	0.034685	0.649664	0.238366	0.065293	0.011992	0.88803	0.882307	0	0.98244	0.310363	0.421601	0
FACS_GBM63_U_83_S87	GBM63_U	166456	157888	337434	0.467907798	24	15921830	15838346	63195	12360626	2929753	375498	109274	0	0	0	28019	27710	540	0.502772	0.497228	0.00399	0.780424	0.184978	0.023708	0.006899	0.965403	0.960341	0	0.833741	0.428826	0.359809	0
FACS_GBM63_U_84_S95	GBM63_U	15658	14432	68444	0.210858512	0	1452601	1441033	24672	895499	287962	205399	27501	0	0	0	1985	1986	14	0.499874	0.500126	0.017121	0.621429	0.19983	0.142536	0.019084	0.821259	0.814719	0	0.953917	0.385624	0.380499	0
FACS_GBM63_U_85_S8	GBM63_U	9242	8592	10414	0.825043211	278	853801	849115	34798	607136	143063	28452	35666	0	0	0	1424	1546	13	0.479461	0.520539	0.040981	0.715022	0.168485	0.033508	0.042004	0.883507	0.878658	0	0.996752	0.300873	0.441113	0
FACS_GBM63_U_86_S16	GBM63_U	932	858	3528	0.243197279	0	82611	81826	2827	50681	17795	6442	4081	0	0	0	127	109	2	0.538136	0.461864	0.034549	0.619375	0.217474	0.078728	0.049874	0.836849	0.828897	0	0.868424	0.064824	1.820704	0.050251
FACS_GBM63_U_87_S24	GBM63_U	4004	3624	13250	0.273509434	0	359971	357375	22277	252647	69690	9663	3098	0	0	0	709	614	10	0.535903	0.464097	0.062335	0.706952	0.195005	0.027039	0.008669	0.901957	0.895453	0	0.949943	0.378096	0.172297	0.234483
FACS_GBM63_U_88_S32	GBM63_U	2550	2352	2984	0.788203753	2	227131	224216	9278	165822	43860	3641	1615	0	0	0	354	383	4	0.480326	0.519674	0.04138	0.739564	0.195615	0.016239	0.007203	0.935179	0.923176	0	0.932588	0.489918	0.266794	0
FACS_GBM63_U_89_S40	GBM63_U	3650	3168	4364	0.725939505	12	318511	316422	16053	229382	63030	5077	2880	0	0	0	559	572	7	0.494253	0.505747	0.050733	0.724924	0.199196	0.016045	0.009102	0.92412	0.918059	0	0.928336	0.541357	0.415729	0.161585
FACS_GBM63_U_8_S57	GBM63_U	1630	1436	3382	0.424600828	10	141493	139661	8001	93169	24315	9126	5050	0	0	0	239	218	6	0.522976	0.477024	0.057289	0.667108	0.1741	0.065344	0.036159	0.841208	0.830317	0	1.117733	0.221837	0.196262	0
