updated_barcode	sample	matched_initial_sample	replicate	category	batch	initial_treatment	initial_survived	divided	best_rep	pass_qc_filter	pass_qc_rep_filter	matched_initital_pass	wang_sc_mes_top_50	wang_sc_pro_bottom_50	Patel_Bernstein_stemness	matched_wang_sc_mes_top_50	matched_wang_sc_pro_bottom_50	matched_Patel_Bernstein_stemness	mapped	unique	total	unique/total	gfp	PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS
B11L3_U_22_11_21_M059K_S86_L003	B11L3_22_11_21_M059K_S86_L003	B11_22_11_21_M059K_S80_L003	NA	L_U	5	U	Y	Y	-	N	N	Y	NA	NA	NA	-0.160875364	-0.357418895	0.134285864	17384979	6348038	24515206	0.258942878	0	638558290	625612829	447178499	79870362	11088264	47276405	40199299	0	0	0	204770	214258	17587	0.488679	0.511321	0.714785	0.127667	0.017724	0.075568	0.064256	0.145391	0.142444	0	2.069125	0	0	0
B11L4_U_161121_M059K_S295_L003	B11L4_161121_M059K_S295_L003	B11_161121_M059K_S59_L003	6	L_U	6	U	Y	Y	-	N	N	Y	NA	NA	NA	0.015604636	-0.047295803	-0.091917116	22780	12984	1756176	0.007393336	0	1296601	1272924	567140	228471	109112	212129	156072	0	0	0	619	708	31	0.466466	0.533534	0.445541	0.179485	0.085718	0.166647	0.122609	0.265203	0.26036	0	1.247469	0	1.339493	0
B11L4_U_22_11_21_M059K_S87_L003	B11L4_22_11_21_M059K_S87_L003	B11_22_11_21_M059K_S80_L003	NA	L_U	5	U	Y	Y	-	Y	Y	Y	0.295139537	-0.126602043	-0.045825032	-0.160875364	-0.357418895	0.134285864	729939	463946	5601056	0.08283188	18	46375809	44818906	969740	572426	1438510	25856884	15981346	0	0	0	3712	4126	2711	0.47359	0.52641	0.021637	0.012772	0.032096	0.576919	0.356576	0.044868	0.043362	0	0.966148	0.430301	0.363139	0
B11L4V2_U_161121_M059K_S66_L003	B11L4V2_161121_M059K_S66_L003	B11_161121_M059K_S59_L003	6	L_U	6	U	Y	Y	-	Y	Y	Y	0.130252431	0.075715396	-0.239419607	0.015604636	-0.047295803	-0.091917116	9521	9036	1837894	0.004916497	0	904420	877020	36871	57682	57661	386854	337952	0	0	0	212	192	12	0.524752	0.475248	0.042041	0.06577	0.065747	0.441101	0.385341	0.131517	0.127533	0	1.209224	0	0.321834	0
B11L5_U_22_11_21_M059K_S88_L003	B11L5_22_11_21_M059K_S88_L003	B11_22_11_21_M059K_S80_L003	NA	L_U	0	U	Y	Y	-	Y	Y	Y	-0.312360413	0.188434485	0.033254102	-0.160875364	-0.357418895	0.134285864	10955280	9043222	39050576	0.231577173	0	910066100	893441464	80907362	61806016	25300541	420941362	304486183	0	0	0	198404	210450	11979	0.485269	0.514731	0.090557	0.069177	0.028318	0.471146	0.340801	0.097496	0.095715	0	2.306689	0	0	0
B11LV1_U_131221_M059K_S306_L003	B11LV1_131221_M059K_S306_L003	B11_131221_M059K_S180_L003	4	L_U	2	U	Y	N	-	N	N	Y	NA	NA	NA	-0.258790366	-0.136526905	-0.078450516	1052910	926675	4049824	0.228818586	700	93283832	92358483	17429606	43109525	16141934	8745139	6932279	0	0	0	112082	112260	3391	0.499603	0.500397	0.188717	0.466763	0.174775	0.094687	0.075058	0.641538	0.635174	0	0.675066	0.388707	0.64506	0.069461
B11LV2_U_131221_M059K_S169_L003	B11LV2_131121_M059K_S169_L003	B11_131221_M059K_S180_L003	4	L_U	2	U	Y	N	-	Y	Y	Y	-0.03402043	-0.087611519	-0.065520346	-0.258790366	-0.136526905	-0.078450516	514125	441994	1738524	0.254235202	0	44486548	44091883	2207400	27077875	9197665	3757121	1851822	0	0	0	68696	69125	1188	0.498444	0.501556	0.050064	0.614124	0.208602	0.085211	0.041999	0.822726	0.815427	0	0.94805	0.152331	0.441195	0
B12_061221_M059K_S152_L003	B12_061221_M059K_S152_L003	NA	NA	I	1	T	N	NA	-	Y	Y	NA	-0.028954434	-0.071465227	-0.070343821	NA	NA	NA	224689	210210	3068172	0.068513108	0	21131391	20790217	89661	1085878	1207736	9953467	8453475	0	0	0	4588	5021	310	0.477469	0.522531	0.004313	0.05223	0.058092	0.478757	0.406608	0.110322	0.108541	0	1.715517	0	0.744143	0
B12_100621_HeLa_S293_L003	B12_100621_HeLa_S293_L003	NA	NA	HeLa	12	NA	NA	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	3942	3296	622046	0.005298644	0	325711	317324	22463	26518	19810	128796	119737	0	0	0	95	93	8	0.505319	0.494681	0.070789	0.083568	0.062428	0.405882	0.377334	0.145996	0.142237	0	0.947932	0.608253	1.320944	0.873418
B12_131221_M059K_S181_L003	B12_131221_M059K_S181_L003	NA	NA	I	2	T	N	NA	-	Y	Y	NA	-0.145363754	-0.022326329	0.065315776	NA	NA	NA	658522	595550	1222548	0.487138337	12	60038759	59495018	2883701	33767556	14607000	5561054	2675707	0	0	0	89743	90416	1989	0.498132	0.501868	0.04847	0.567569	0.245516	0.093471	0.044974	0.813086	0.805722	0	1.136991	0	0.662366	0
B12_161121_M059K_S60_L003	B12_161121_M059K_S60_L003	NA	NA	I	5	U	N	NA	-	Y	Y	NA	-0.045840027	0.008216604	0.079718788	NA	NA	NA	2507860	2377135	3077654	0.772385395	0	238547846	233158914	73954	2897108	7838654	127711814	94637384	0	0	0	23105	22123	3102	0.510856	0.489144	0.000317	0.012425	0.033619	0.547746	0.405892	0.046045	0.045005	0	2.402575	0	0	0
B12_22_11_21_M059K_S81_L003	B12_22_11_21_M059K_S81_L003	NA	NA	I	6	U	N	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	1077046	968577	8305694	0.116616023	0	97395307	94602536	16845	7314319	4403931	41994294	40873147	0	0	0	25372	23454	133	0.519641	0.480359	0.000178	0.077316	0.046552	0.443902	0.432051	0.123868	0.120316	0	2.095135	0	0	0
B12_240122_M059K_S216_L003	B12_240122_M059K_S216_L003	NA	NA	I	8	T	N	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	5029047	3770188	31478730	0.119769381	0	379121059	371149111	59824042	26136636	16081550	153202096	115904787	0	0	0	75270	69402	7351	0.52028	0.47972	0.161186	0.070421	0.043329	0.412778	0.312286	0.11375	0.111358	0	2.505011	0	0	0
B12_291121_M059K_S111_L003	B12_291121_M059K_S111_L003	NA	NA	I	0	T	N	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	3731	3286	287930	0.011412496	0	328806	321240	4433	18662	18381	163380	116384	0	0	0	73	62	6	0.540741	0.459259	0.0138	0.058094	0.057219	0.508592	0.362296	0.115313	0.112659	0	1.405831	0	1.62143	0
B12_310122_M059K_S239_L003	B12_310122_M059K_S239_L003	NA	NA	I	10	U	Y	Y	-	N	N	NA	NA	NA	NA	NA	NA	NA	3334546	2799410	23071182	0.121337953	50	281887524	278916150	90194586	134281310	15943694	17352725	21143835	0	0	0	278044	272330	61090	0.505191	0.494809	0.323375	0.48144	0.057163	0.062215	0.075807	0.538603	0.532925	0	0.905648	0.358203	0.628956	0
B12L1_U_310122_M059K_S253_L003	B12L1_U_310122_M059K_S253_L003	B12_310122_M059K_S239_L003	NA	L_U	10	U	Y	Y	-	Y	Y	N	-0.391150181	0.059564457	-0.270301556	NA	NA	NA	3377595	3202467	33888474	0.094500183	0	322127917	316543535	873933	110460778	52761489	55205969	97241366	0	0	0	276772	255258	366	0.520219	0.479781	0.002761	0.348959	0.16668	0.174402	0.307197	0.515639	0.5067	0	1.455597	0	0.962274	0
B12L2_U_310122_M059K_S254_L003	B12L2_U_310122_M059K_S254_L003	B12_310122_M059K_S239_L003	NA	L_U	10	U	Y	Y	-	Y	Y	N	-0.226185228	-0.042851624	-0.22891071	NA	NA	NA	115918	104868	1225036	0.085604015	0	10555304	10438191	334746	796774	472133	4846146	3988392	0	0	0	2089	2631	166	0.442585	0.557415	0.032069	0.076333	0.045231	0.464271	0.382096	0.121564	0.120215	0	1.413979	0	0.518705	0
B13_061221_M059K_S153_L003	B13_061221_M059K_S153_L003	NA	NA	I	1	T	N	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	25624	23922	395830	0.060435035	0	2383058	2333389	12978	142137	90094	1213194	874986	0	0	0	464	477	74	0.493092	0.506908	0.005562	0.060914	0.038611	0.519928	0.374985	0.099525	0.097451	0	1.38419	0.019651	0	0
B13_131221_M059K_S182_L003	B13_131221_M059K_S182_L003	NA	NA	I	2	T	N	NA	-	Y	Y	NA	-0.148825391	0.040655746	0.051440118	NA	NA	NA	542128	496723	3967332	0.125203285	14	50046864	49500777	1949643	22466019	11798448	8766911	4519756	0	0	0	66120	66009	1586	0.50042	0.49958	0.039386	0.453852	0.238349	0.177107	0.091307	0.692201	0.684648	0	1.241938	0	0.646653	0
B13_161121_M059K_S61_L003	B13_161121_M059K_S61_L003	NA	NA	I	5	U	N	NA	-	Y	Y	NA	-0.180410182	-0.015508392	-0.206575976	NA	NA	NA	212461	204072	1453796	0.140371827	0	20498831	20060881	67307	570346	833818	9667070	8922340	0	0	0	2188	2236	136	0.494575	0.505425	0.003355	0.028431	0.041564	0.481887	0.444763	0.069995	0.0685	0	2.093795	0	0	0
B13_22_11_21_M059K_S82_L003	B13_22_11_21_M059K_S82_L003	NA	NA	I	6	U	N	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	5500411	4832249	15731472	0.30717081	0	485910650	472729395	90994	16374135	19879478	232278273	204106515	0	0	0	81555	85472	15918	0.488274	0.511726	0.000192	0.034637	0.042053	0.491356	0.431762	0.07669	0.07461	0	2.69408	0	0	0
B13_240122_M059K_S217_L003	B13_240122_M059K_S217_L003	NA	NA	I	8	U	N	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	951948	843887	4528962	0.186331217	10	84832097	83173299	6529992	10786468	5092488	32024048	28740303	0	0	0	35698	38300	2356	0.482418	0.517582	0.078511	0.129687	0.061227	0.385028	0.345547	0.190914	0.187181	0	2.126908	0	0	0
B13_291121_M059K_S112_L003	B13_291121_M059K_S112_L003	NA	NA	I	0	U	N	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	4191	3250	348758	0.009318783	0	325265	317366	14863	40373	25178	138821	98131	0	0	0	155	128	7	0.547703	0.452297	0.046832	0.127213	0.079334	0.437416	0.309205	0.206547	0.201531	0	1.061643	0	0.610544	0
B14_131221_M059K_S183_L003	B14_131221_M059K_S183_L003	NA	NA	I	2	T	N	NA	-	Y	Y	NA	0.078544676	0.287116295	-0.018546246	NA	NA	NA	179194	165232	1650302	0.100122281	2	16620164	16334147	347980	6713741	2794893	3953796	2523737	0	0	0	18061	18238	619	0.497562	0.502438	0.021304	0.411025	0.171107	0.242057	0.154507	0.582132	0.572114	0	1.242899	0	0.593959	0
B14_161121_M059K_S62_L003	B14_161121_M059K_S62_L003	NA	NA	I	5	U	Y	N	-	N	N	NA	NA	NA	NA	NA	NA	NA	1379139	1313453	2430762	0.540346196	0	131573739	128313005	216145	5461178	8373359	61442216	52820107	0	0	0	30378	29525	520	0.50712	0.49288	0.001685	0.042561	0.065257	0.478846	0.41165	0.107819	0.105147	0	2.419975	0	0	0
B14_291121_M059K_S113_L003	B14_291121_M059K_S113_L003	NA	NA	I	0	U	N	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	3121	2496	123316	0.020240682	0	248337	241660	7441	15435	14701	115251	88832	0	0	0	75	62	4	0.547445	0.452555	0.030791	0.063871	0.060833	0.476914	0.367591	0.124704	0.121351	0	0.97715	0	0.427875	0
B14L1_U_161121_M059K_S296_L003	B14L1_161121_M059K_S296_L003	B14_161121_M059K_S62_L003	7	L_U	5	U	Y	N	N	Y	N	N	NA	NA	NA	NA	NA	NA	87987	81082	589434	0.137559082	4	8017253	7745133	39042	212091	270769	3773195	3450036	0	0	0	1105	1003	104	0.524194	0.475806	0.005041	0.027384	0.03496	0.48717	0.445446	0.062344	0.060228	0	1.610187	0	0.063865	0
B14L1V2_U_161121_M059K_S69_L003	B14L1V2_161121_M059K_S69_L003	B14_161121_M059K_S62_L003	7	L_U	5	U	Y	N	Y	Y	Y	N	-0.274938484	-0.208804336	-0.067372158	NA	NA	NA	1071411	995332	4185124	0.237826167	0	99862593	97230996	2808895	3512130	3462415	47669518	39778038	0	0	0	14476	14913	3163	0.492565	0.507435	0.028889	0.036122	0.03561	0.490271	0.409109	0.071732	0.069841	0	2.303505	0	0	0
B15_131221_M059K_S184_L003	B15_131221_M059K_S184_L003	NA	NA	I	2	T	N	NA	-	Y	Y	NA	-0.059040009	0.019799875	0.202167273	NA	NA	NA	262984	243206	1365958	0.178047934	2	24461417	24028630	1346135	8144490	4492757	5329111	4716137	0	0	0	24740	24220	837	0.50531	0.49469	0.056022	0.338949	0.186975	0.221782	0.196272	0.525925	0.51662	0	1.335571	0	0.656737	0
B16_131221_M059K_S185_L003	B16_131221_M059K_S185_L003	NA	NA	I	2	T	N	NA	-	Y	Y	NA	-0.168678867	-0.063931796	-0.125673008	NA	NA	NA	191718	181284	1284772	0.141102079	0	18159467	17840625	79999	4389994	2685887	6074286	4610459	0	0	0	13178	13396	427	0.495898	0.504102	0.004484	0.246067	0.150549	0.340475	0.258425	0.396616	0.389652	0	1.537348	0	0.49862	0
B1LV1_T_250122_M059K_S225_L003	B1LV1_T_250122_M059K_S225_L003	B1_250122_M059K_S221_L003	1	L_T	8	T	Y	N	-	N	N	Y	NA	NA	NA	-0.256623143	0.178994498	-0.175943515	568538	481486	5860070	0.082163865	0	48312508	47288770	1524591	15240528	9344943	11003639	10175069	0	0	0	47874	54895	2983	0.465841	0.534159	0.03224	0.322286	0.197614	0.23269	0.215169	0.519901	0.508884	0	2.099266	0	1.160166	0
B1LV2_T_250122_M059K_S309_L003	B1LV2_T_250122_M059K_S309_L003	B1_250122_M059K_S221_L003	1	L_T	8	T	Y	N	-	N	N	Y	NA	NA	NA	-0.256623143	0.178994498	-0.175943515	481904	307794	15621980	0.019702624	0	30906988	30259317	13203279	6424852	4562685	4711846	1356655	0	0	0	21833	21151	719	0.507933	0.492067	0.436338	0.212326	0.150786	0.155716	0.044834	0.363113	0.355503	0	1.981907	0	0.979763	0
B2_010222_M059K_S243_L003	B2_010222_M059K_S243_L003	NA	NA	I	10	U	N	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	82926	76654	1233282	0.062154479	0	7707777	7566839	20224	936981	377135	3134609	3097890	0	0	0	2759	3017	558	0.477666	0.522334	0.002673	0.123827	0.04984	0.414256	0.409403	0.173668	0.170492	0	1.03705	0.092008	0.651987	0
B2_020321_M059K_FUCCI_S277_L003	B2_020321_M059K_FUCCI_S277_L003	NA	NA	FUCCI	11	NA	NA	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	8977	7412	407944	0.01816916	2	738905	722864	29087	87872	54909	300215	250781	0	0	0	291	307	10	0.486622	0.513378	0.040239	0.121561	0.07596	0.415313	0.346927	0.197521	0.193233	0	0.952428	0	0.866561	0
B2_021121_M059K_S2_L003	B2_021121_M059K_S2_L003	NA	NA	I	3	U	N	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	2940	2328	134846	0.017264138	0	232988	224660	14891	31918	14077	83066	80708	0	0	0	65	89	6	0.422078	0.577922	0.066282	0.142072	0.062659	0.369741	0.359245	0.204732	0.197414	0	0.858247	0.027431	0.396756	0.065217
B2_030321_M059K_FUCCI_S286_L003	B2_030321_M059K_FUCCI_S286_L003	NA	NA	FUCCI	11	NA	NA	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	397109	373659	1814926	0.205881121	2	37616153	37047771	218823	808375	620766	19499208	15900599	0	0	0	2997	3501	309	0.461219	0.538781	0.005907	0.02182	0.016756	0.526326	0.429192	0.038576	0.037993	0	1.695665	0	0	0
B2_041121_M059K_S12_L003	B2_041121_M059K_S12_L003	NA	NA	I	3	U	Y	Y	-	N	N	NA	NA	NA	NA	NA	NA	NA	10864	7527	3701518	0.00203349	0	756610	725798	3381	68163	59681	392998	201575	0	0	0	291	327	6	0.470874	0.529126	0.004658	0.093915	0.082228	0.54147	0.277729	0.176143	0.168969	0	1.462344	0	0	0
B2_051121_M059K_S23_L003	B2_051121_M059K_S23_L003	NA	NA	I	3	U	N	NA	-	Y	Y	NA	-0.198921645	0.030964333	-0.201157502	NA	NA	NA	2608	1938	457770	0.004233567	4	194376	191283	8583	75995	28528	46035	32142	0	0	0	189	196	10	0.490909	0.509091	0.044871	0.397291	0.14914	0.240664	0.168034	0.546431	0.537736	0	0.82653	0.522503	0.586473	0.228903
B2_061221_M059K_S143_L003	B2_061221_M059K_S143_L003	NA	NA	I	1	U	Y	N	-	Y	Y	NA	-0.491432989	0.04308148	0.000131063	NA	NA	NA	1359055	1288356	2612482	0.49315402	120	129781153	128300329	4059835	62754778	31267690	18793470	11424556	0	0	0	178520	176375	5935	0.503022	0.496978	0.031643	0.489124	0.243707	0.14648	0.089045	0.732831	0.724469	0	1.352133	0	0.649118	0
B2_071221_M059K_S158_L003	B2_071221_M059K_S158_L003	NA	NA	I	1	T	N	NA	-	Y	Y	NA	-0.282198333	-0.311984664	0.105995668	NA	NA	NA	316926	298410	3318882	0.089912808	100	29996287	29464756	153725	3461698	3142153	13176333	9530847	0	0	0.00E+00	12344	12876	398	0.489453	0.510547	0.005217	0.117486	0.106641	0.44719	0.323466	0.224127	0.220156	0	1.56378	0	0.764446	0
B2_111121_M059K_S42_L003	B2_111121_M059K_S42_L003	NA	NA	I	4	U	N	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	14914	10730	578808	0.018538099	0	1078290	1050706	35941	114632	96858	416215	387060	0	0	0	389	372	20	0.51117	0.48883	0.034207	0.1091	0.092184	0.396129	0.368381	0.201284	0.196135	0	1.089416	0.127632	0.632583	0
B2_121121_M059K_S48_L003	B2_121121_M059K_S48_L003	NA	NA	I	4	U	N	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	158113	141176	1240738	0.113783893	0	14179412	13833932	692088	1953276	990820	5515474	4682274	0	0	0.00E+00	5903	5771	103	0.505654	0.494346	0.050028	0.141195	0.071622	0.398692	0.338463	0.212817	0.207632	0	1.599647	0	0.286174	0
B2_131221_M059K_S171_L003	B2_131221_M059K_S171_L003	NA	NA	I	2	T	N	NA	-	Y	Y	NA	0.078889465	-0.027931912	0.112153609	NA	NA	NA	1510252	1386552	4878062	0.28424239	476	139783311	138677822	6359717	84310390	32180139	10481712	5345864	0	0	0	223051	222310	3959	0.500832	0.499168	0.04586	0.607959	0.23205	0.075583	0.038549	0.840008	0.833365	0	0.786053	0.14061	0.628604	0
B2_141221_M059K_S187_L003	B2_141221_M059K_S187_L003	NA	NA	I	2	U	N	NA	-	Y	Y	NA	-0.016684481	-0.053328725	0.17338518	NA	NA	NA	224315	204241	1126656	0.18128071	60	20567704	20286840	564920	9211462	4406427	3749836	2354195	0	0	0	25641	25498	702	0.501398	0.498602	0.027847	0.454061	0.217206	0.184841	0.116045	0.671267	0.662101	0	1.122201	0	0.627202	0
B2_160222_HeLa_S258_L003	B2_160222_HeLa_S258_L003	NA	NA	HeLa	9	NA	NA	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	492272	431662	7424346	0.058141417	0	43316438	42193373	416650	26495381	11877245	2027839	1376258	0	0	0	87037	85531	11206	0.504363	0.495637	0.009875	0.627951	0.281496	0.048061	0.032618	0.909447	0.885868	0	1.770684	0	2.029815	0
B2_161121_M059K_S50_L003	B2_161121_M059K_S50_L003	NA	NA	I	5	U	N	NA	-	Y	Y	NA	-0.196741202	-0.227143926	-0.066329628	NA	NA	NA	624870	565808	2212634	0.255716942	0	56859367	55411854	166128	728951	1672124	27848613	24996038	0	0	0	5476	5360	916	0.505353	0.494647	0.002998	0.013155	0.030176	0.502575	0.451096	0.043331	0.042228	0	2.094848	0	0	0
B2_170222_GBM63_S268_L003	B2_170222_GBM63_S268_L003	NA	NA	gbm63	9	NA	NA	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	86303	81260	1093110	0.074338356	0	8032513	7900328	31875	1208306	586700	3386731	2686716	0	0	0	1629	1548	104	0.512748	0.487252	0.004035	0.152944	0.074263	0.428682	0.340077	0.227207	0.223468	0	1.028711	0.226178	0.490927	0
B2_180122_M059K_S196_L003	B2_180122_M059K_S196_L003	NA	NA	I	7	U	N	NA	-	Y	Y	NA	0.250702385	-0.187302159	0.094794257	NA	NA	NA	16362976	15304068	30946444	0.494533976	0	1538039536	1504185217	1936755	27641893	59693696	759455817	655457056	0	0	0	205319	214098	21025	0.489534	0.510466	0.001288	0.018377	0.039685	0.504895	0.435756	0.058062	0.056784	0	2.497626	0	0	0
B2_22_11_21_M059K_S71_L003	B2_22_11_21_M059K_S71_L003	NA	NA	I	6	T	N	NA	-	Y	Y	NA	-0.19858052	-0.023359554	-0.202217466	NA	NA	NA	4607	3866	682348	0.005665731	16	386072	378538	13299	149296	63620	85026	67297	0	0	0	401	378	20	0.514763	0.485237	0.035133	0.394402	0.168068	0.224617	0.177781	0.562469	0.551493	0	0.825281	0.519508	0.579239	0.270522
B2_23_11_21_M059K_S90_L003	B2_23_11_21_M059K_S90_L003	NA	NA	I	6	U	N	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	6979616	6429505	33556684	0.191601322	0	644899344	627510243	1981784	12322700	32202556	322247517	258755686	0	0	0	95736	91087	15418	0.512442	0.487558	0.003158	0.019637	0.051318	0.513533	0.412353	0.070955	0.069042	0	3.279715	0	0	0
B2_240122_M059K_S205_L003	B2_240122_M059K_S205_L003	NA	NA	I	8	T	N	NA	-	Y	Y	NA	-0.390308816	0.088069169	-0.171909279	NA	NA	NA	2608052	2537576	3533288	0.718191101	0	254174761	249310235	115876	189739818	35979972	21593290	1881279	0	0	0	441006	500038	1332	0.468635	0.531365	0.000465	0.761059	0.144318	0.086612	0.007546	0.905377	0.88805	0	2.190899	0	2.982475	0
B2_250122_M059K_S222_L003	B2_250122_M059K_S222_L003	NA	NA	I	8	U	N	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	10769400	10608497	15305206	0.693129972	6	1067910516	1054069913	66660247	538471084	142000296	265771450	41166836	0	0	0	1660599	1699047	1967	0.494278	0.505722	0.063241	0.510849	0.134716	0.252138	0.039055	0.645566	0.637199	0	1.437835	0.019562	0.443335	0
B2_291121_M059K_S101_L003	B2_291121_M059K_S101_L003	NA	NA	I	0	T	N	NA	-	Y	Y	NA	0.160371818	0.095617647	-0.069819634	NA	NA	NA	114344	108211	596506	0.181408066	0	10876145	10653078	3761	201026	317591	5735030	4395670	0	0	0	1102	992	120	0.526266	0.473734	0.000353	0.01887	0.029812	0.538345	0.41262	0.048682	0.047684	0	1.360507	0	0.233607	0
B2_301121_M059K_S127_L003	B2_301121_M059K_S127_L003	NA	NA	I	0	T	N	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	4737	3674	388286	0.009462098	0	368436	359843	3408	32582	33959	158655	131239	0	0	0	142	126	25	0.529851	0.470149	0.009471	0.090545	0.094372	0.440901	0.364712	0.184917	0.180604	0	1.284449	0	0.78956	0
B2_310122_M059K_S229_L003	B2_310122_M059K_S229_L003	NA	NA	I	10	T	Y	N	-	Y	Y	NA	-0.315882048	-0.008592555	-0.090223469	NA	NA	NA	1846966	1484606	21127774	0.07026798	0	148779448	145727144	11534013	12900919	6247412	58446509	56598291	0	0	0	39481	41487	2459	0.487612	0.512388	0.079148	0.088528	0.042871	0.401068	0.388385	0.131399	0.128703	0	1.584426	0	0	0
B2L_T_310122_M059K_S249_L003	B2L_T_310122_M059K_S249_L003	B2_310122_M059K_S229_L003	NA	L_T	10	T	Y	N	-	Y	Y	Y	-0.20245057	-0.100171563	-0.075767649	-0.315882048	-0.008592555	-0.090223469	5455694	5027619	26335140	0.190909143	0	505174117	495748782	15496992	117472449	71702035	155152638	135924668	0	0	0	301862	298449	10253	0.502843	0.497157	0.03126	0.23696	0.144634	0.312966	0.274181	0.381593	0.374474	0	2.308578	0	0	0
B2L1_U_041121_M059K_S15_L003	B2L1_U_041121_M059K_S15_L003	B2_041121_M059K_S12_L003	NA	L_U	3	U	Y	Y	-	N	N	N	NA	NA	NA	NA	NA	NA	7114	4318	1128460	0.003826454	4	430492	421241	7951	68340	71197	147130	126623	0	0	0	242	261	3	0.481113	0.518887	0.018875	0.162235	0.169017	0.349277	0.300595	0.331252	0.324134	0	1.031407	0	0.664507	0
B2L2_U_041121_M059K_S16_L003	B2L2_U_041121_M059K_S16_L003	B2_041121_M059K_S12_L003	NA	L_U	3	U	Y	Y	-	N	N	N	NA	NA	NA	NA	NA	NA	818	588	715924	0.000821316	0	58706	56994	1005	5868	4006	24224	21891	0	0	0	29	11	0	0.725	0.275	0.017633	0.102958	0.070288	0.425027	0.384093	0.173246	0.168194	0	0.881035	0.585188	0	0
B2L3_U_041121_M059K_S17_L003	B2L3_U_041121_M059K_S17_L003	B2_041121_M059K_S12_L003	NA	L_U	3	U	Y	Y	-	N	N	N	NA	NA	NA	NA	NA	NA	1188	730	77422	0.009428845	0	72967	71123	2807	7975	5045	31357	23939	0	0	0	26	27	0	0.490566	0.509434	0.039467	0.11213	0.070933	0.440884	0.336586	0.183063	0.178437	0	0	0	0	0
B2L4_U_041121_M059K_S18_L003	B2L4_U_041121_M059K_S18_L003	B2_041121_M059K_S12_L003	NA	L_U	3	U	Y	Y	-	N	N	N	NA	NA	NA	NA	NA	NA	14445	4174	151986	0.027463056	0	418436	409595	42195	124511	51287	109924	81678	0	0	0	290	346	38	0.455975	0.544025	0.103016	0.303986	0.125214	0.268372	0.199412	0.4292	0.420131	0	1.00993	0	0.750416	0
B2LV1_U_061221_M059K_S155_L003	B2LV1_061221_M059K_S155_L003	B2_061221_M059K_S143_L003	8	L_U	1	U	Y	N	N	Y	N	Y	NA	NA	NA	-0.491432989	0.04308148	0.000131063	398495	374247	1152016	0.324862676	8	37626374	37072323	579623	12264571	7361407	9735830	7130892	0	0	0	38170	39211	1019	0.493274	0.506726	0.015635	0.330828	0.198569	0.262617	0.192351	0.529397	0.521602	0	1.491671	0	0.789617	0
B2LV2_U_061221_M059K_S303_L003	B2LV2_061221_M059K_S303_L003	B2_061221_M059K_S143_L003	8	L_U	1	U	Y	N	Y	Y	Y	Y	-0.089126419	-0.046621136	0.265187237	-0.491432989	0.04308148	0.000131063	699378	632002	1965728	0.321510402	4	63261468	62100342	681887	20355659	14632029	15549697	10881070	0	0	0	64838	65615	1731	0.497022	0.502978	0.01098	0.327787	0.235619	0.250396	0.175218	0.563406	0.553065	0	1.326381	0	0.882494	0
B3_010222_M059K_S244_L003	B3_010222_M059K_S244_L003	NA	NA	I	10	U	N	NA	-	Y	Y	NA	0.011742258	0.062307941	-0.068435448	NA	NA	NA	21869018	21015656	22917002	0.917033389	20	2116287609	2095639391	44533719	1255291266	605931250	142271503	47611653	0	0	0	3391520	3450946	107734	0.495658	0.504342	0.021251	0.599002	0.289139	0.067889	0.022719	0.888141	0.879475	0	0.747364	0.418078	0.52401	0
